f = Friend,All Friend,Team 1,Team 2,Team 3,Team 4,Team 5,,,,,,,,,,
Team 0: All Friend,f,x,,,,,,,,,,,,,,
Team 1: Good Team Player,f,f,x,,,,,,,,,,,,,
Team 2: Enemy Team NPCs,f,ENEMY,f,x,,,,,,,,,,,,
Team 3: Good Team NPCs,f,f,ENEMY,f,x,,,,,,,,,,,
Team 4: Enemy Team Player,f,ENEMY,f,ENEMY,f,x,,,,,,,,,,
Team 5: Deathmatch,f,f,f,f,f,ENEMY,x,,,,,,,,,
,f,f,f,f,f,f,f,x,,,,,,,,
,f,f,f,f,f,f,f,f,x,,,,,,,
,f,f,f,f,f,f,f,f,f,x,,,,,,
,f,f,f,f,f,f,f,f,f,f,x,,,,,
,f,f,f,f,f,f,f,f,f,f,f,x,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,x,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x,
,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,x
Team 31: All Enemy,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY,ENEMY
