list,Archer,
move,Melee Attack,X_Ranged
move,Jump Attack,A X
move,Rising Attack,X_Ranged
move,Shoot Bow,RT
move,Zoom,LT
move,Multi-Arrow,LB
move,Poison Arrow,Y RT
move,Fire Arrow,B RT
move,Sample Tactic,ST_Archer1
move,Sample Tactic,ST_Archer2
list,Mage,
move,Melee Attack,X X X_Ranged
move,Jump Attack,A X
move,Rising Attack,X_Ranged
move,Lightning,RT
move,Defensive Shield,LT
move,Heal,LB
move,Shockwave,Y
move,Fire Wall,B
move,Sample Tactic,ST_Mage1
move,Sample Tactic,ST_Mage2
list,Scout,
move,Light Attack,X X X X
move,Medium Attack,Y Y
move,Heavy Attack,B B
move,Jump Attack,A X/Y/B
move,Rising Attack,X/Y/B 
move,Sprint Attack,LS+X/Y/B 
move,Cloak Backstab,LB RB 
move,Satchel Bomb,RT_Throw
move,Block,LT
move,Roll,LT+LS
move,CrowdBreaker,LT+B
move,Foe Hewer,LB+X
move,Foe Hammer,LB+Y(Y Y X)
move,Blasting Powder,LB+B
move,Sample Tactic,ST_Scout1
move,Sample Tactic,ST_Scout2
list,Warrior,
move,Light Attack,X X X
move,Medium Attack,Y Y
move,Heavy Attack,B
move,Jump Attack,A X/Y/B
move,Rising Attack,X/Y/B 
move,Sprint Attack,LS+X/Y/B 
move,Throwing Axe,RT_Throw
move,Block,LT
move,Evade,LT+LS
move,CrowdBreaker,LT+B
move,Fire Strike,LB+X
move,Whirlwind Sweep,LB+Y(Y Y Y Y)
move,Flame of Fury,LB+B
move,Sample Tactic,ST_Warrior1
move,Sample Tactic,ST_Warrior2
list,Ent,
move,Light Attack,X
move,Heavy Attack,Y
move,Regenerate Health,A
move,Defense Rally,B
move,Grab,RT_Throw
list,Troll,
move,Light Attack,X
move,Heavy Attack,Y
move,Regenerate Health,A
move,Attack Rally,B
move,Grab,RT_Throw
list,Aragorn,
move,Light Attack,X X X
move,Medium Attack,Y Y
move,Heavy Attack,B
move,Jump Attack,A X/Y/B
move,Rising Attack,X/Y/B 
move,Sprint Attack,LS+X/Y/B 
move,Throwing Axe,RT_Throw
move,Block,LT
move,Evade,LT+LS
move,CrowdBreaker,LT+B
